Loop,LinearRegression,Ridge,Lasso,ElasticNet,BayesianRidge
0,77047439812.14699,76833046339.66153,77045223473.49165,76841317063.46866,76838129364.30927
1,91727086546.63663,90812020893.28006,91723091974.27492,91775990866.39465,92292337655.59737
2,109040368531.59987,110486105269.04361,109046220296.66344,111694097366.05112,111655820480.08858
3,105486041600.61787,106327050126.68266,105487097454.75557,107733420006.58467,107794131887.537
4,107998846735.1787,109437393395.53542,108005437321.6923,110959591192.49179,112024037973.5712
5,85401989797.70766,86118842942.21085,85402436875.46382,87187523504.95207,87353526880.83823
6,45638659536.39709,45377272310.36014,45636046517.84178,45423829498.802246,45377588197.18775
7,81301088145.36523,81667944711.45967,81300283358.26529,78328960002.84137,81003507505.89923
8,104645562594.51622,106052179746.37523,104652458595.4613,105681225825.59343,106036566035.46176
9,80557303587.14352,82053186288.67151,80565370849.37439,82354458303.10281,82363613175.29326
