Loop,LinearRegression,LinearRegressionLib,Decision Tree,Ridge,Lasso,BayesianRidge
0,131327749374.83798,97003739378.17197,142036369248.32608,98497553932.7033,97009898401.81139,100259871654.25415
1,138875331665.32687,115871210075.2695,139986993910.80435,115933976204.90271,115869572012.2448,115447633949.71695
2,121335655738.31969,93009363485.78055,230809616915.7355,94421258290.8538,93015378824.20564,94340101193.15993
3,140724367324.52994,116779359006.95789,109067150417.63043,117920647170.51321,116782177671.64348,120405239497.12784
4,97004463867.6554,72563007281.77716,84631462592.51811,73843893314.23433,72565971433.54268,75637467093.92256
5,121968619804.54005,113195313306.53517,131977186913.17029,114033276444.23604,113196516397.67822,114036854883.78725
6,105220979052.23012,81466976957.24136,159011626157.63406,81947113363.11462,81466764406.86478,81482310168.59508
7,84648575913.86778,61891255025.86241,83532325879.35146,62565834980.50522,61891172846.83067,63338957307.91018
8,95054802951.85092,83259712363.74702,222874308188.4058,84141366317.48889,83260979711.22588,83601181960.98131
9,168755506141.19177,120278407694.87436,147893593905.80072,121640752790.20296,120284860637.67412,121573055808.17892
