Loop,LinearRegression,LinearRegressionLib,Decision Tree,Ridge,Lasso,BayesianRidge
0,38.765,54.769,33.772,54.073,54.767,53.251
1,54.657,62.167,54.294,62.147,62.168,62.306
2,69.13,76.337,41.279,75.978,76.336,75.999
3,61.22,67.819,69.944,67.504,67.818,66.82
4,58.11,68.665,63.454,68.112,68.664,67.337
5,64.321,66.888,61.394,66.643,66.888,66.642
6,62.713,71.131,43.652,70.961,71.131,71.125
7,54.888,67.016,55.483,66.657,67.016,66.245
8,71.961,75.44,34.256,75.18,75.439,75.339
9,56.441,68.954,61.826,68.602,68.952,68.62
